member_id,first_name,last_name,grade,neighborhood,membership_status,join_date,checkout_id,book_id,checkout_date,return_date,total_checkouts,title,author,genre,pages,publication_year,publisher
1016,Dina,Rashad,8.0,Maadi,Active,2023-04-24,9090.0,507.0,2025-02-18,2025-03-04,7,Fossils and Fireflies,Dalia Serry,Science,160.0,2024.0,Nile Press
1016,Dina,Rashad,8.0,Maadi,Active,2023-04-24,9059.0,518.0,2025-06-28,2025-07-27,7,The Ninth Lighthouse,Hani Nagati,Adventure,163.0,2011.0,Delta House
1016,Dina,Rashad,8.0,Maadi,Active,2023-04-24,9061.0,505.0,2025-04-28,2025-05-20,7,Letters to the Nile,Aya Hafez,Historical,216.0,2024.0,Oasis Books
1016,Dina,Rashad,8.0,Maadi,Active,2023-04-24,9065.0,509.0,2024-12-21,,7,Marbles and Mirrors,Diaa Sultan,Mystery,221.0,2011.0,Nile Press
1016,Dina,Rashad,8.0,Maadi,Active,2023-04-24,9016.0,527.0,2024-12-03,2024-12-11,7,Notes from the Delta,Mona Kholoussy,Nature,328.0,2017.0,Delta House
1017,Adam,Badr,9.0,Maadi,Active,2025-07-12,9028.0,507.0,2025-01-19,2025-01-28,3,Fossils and Fireflies,Dalia Serry,Science,160.0,2024.0,Nile Press
1017,Adam,Badr,9.0,Maadi,Active,2025-07-12,9081.0,502.0,2025-08-25,2025-09-17,3,Desert Compass,Amina Darwish,Adventure,109.0,2018.0,Delta House
1018,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,9097.0,501.0,2025-10-05,2025-10-14,17,The Silver Kite,Amina Darwish,Adventure,128.0,2017.0,Nile Press
1018,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,9030.0,507.0,2025-03-09,,17,Fossils and Fireflies,Dalia Serry,Science,160.0,2024.0,Nile Press
1018,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,9063.0,515.0,2024-10-22,,17,Songs of the Oasis,Hoda Bakry,Poetry,316.0,2022.0,Cairo Young Readers
1018,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,9070.0,513.0,2025-01-08,2025-02-01,17,Circuits for Beginners,Galal Mounir,Science,294.0,2021.0,Oasis Books
1018,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,9075.0,510.0,2024-07-01,,17,The Missing Metronome,Diaa Sultan,Mystery,134.0,2013.0,Cairo Young Readers
1018,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,9027.0,519.0,2024-11-04,,17,Kites Over Cairo,Jasmine Wahdan,Friendship,157.0,2014.0,Nile Press
1018,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,9017.0,519.0,2024-08-06,2024-08-11,17,Kites Over Cairo,Jasmine Wahdan,Friendship,157.0,2014.0,Nile Press
1018,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,9378.0,501.0,2024-09-05,2024-09-21,17,The Silver Kite,Amina Darwish,Adventure,128.0,2017.0,Nile Press
1018,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,9006.0,507.0,2025-06-26,2025-07-01,17,Fossils and Fireflies,Dalia Serry,Science,160.0,2024.0,Nile Press
1018,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,9104.0,507.0,2024-05-15,,17,Fossils and Fireflies,Dalia Serry,Science,160.0,2024.0,Nile Press
1018,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,9099.0,506.0,2025-10-10,2025-11-09,17,The Paper Boat Club,Aya Hafez,Friendship,183.0,,Nile Press
1018,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,9086.0,501.0,2024-06-20,2024-06-29,17,The Silver Kite,Amina Darwish,Adventure,128.0,2017.0,Nile Press
1018,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,9044.0,503.0,2024-10-07,,17,The Lantern Maker,Adel Roushdy,Historical,259.0,,Nile Press
1018,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,9023.0,503.0,2025-08-04,2025-08-27,17,The Lantern Maker,Adel Roushdy,Historical,259.0,,Nile Press
1018,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,9026.0,506.0,2025-04-21,2025-05-04,17,The Paper Boat Club,Aya Hafez,Friendship,183.0,,Nile Press
1018,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,9085.0,525.0,2025-08-19,2025-09-18,17,Storms and Sailboats,Mahmoud Rafei,Adventure,297.0,2015.0,Oasis Books
1018,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,9039.0,513.0,2024-07-21,2024-08-10,17,Circuits for Beginners,Galal Mounir,Science,294.0,2021.0,Oasis Books
1019,Mostafa,Wahba,6.0,Maadi,Inactive,2024-07-20,9092.0,507.0,2025-03-20,2025-03-27,2,Fossils and Fireflies,Dalia Serry,Science,160.0,2024.0,Nile Press
1019,Mostafa,Wahba,6.0,Maadi,Inactive,2024-07-20,9052.0,501.0,2024-06-20,2024-06-29,2,The Silver Kite,Amina Darwish,Adventure,128.0,2017.0,Nile Press
1020,Rana,Fouad,6.0,Maadi,Active,2025-12-04,9031.0,530.0,2025-12-28,2026-01-05,7,The Sandstone Key,Sara Tantawy,Adventure,208.0,2012.0,Oasis Books
1020,Rana,Fouad,6.0,Maadi,Active,2025-12-04,9101.0,532.0,2025-05-25,2025-06-15,7,The Last Bookmark,Samir Zohdy,Friendship,337.0,2017.0,Oasis Books
1020,Rana,Fouad,6.0,Maadi,Active,2025-12-04,9057.0,519.0,2025-02-03,,7,Kites Over Cairo,Jasmine Wahdan,Friendship,157.0,2014.0,Nile Press
1020,Rana,Fouad,6.0,Maadi,Active,2025-12-04,9033.0,522.0,2025-02-26,2025-03-11,7,The Puzzle Merchant,Karim Elwy,Mystery,104.0,2016.0,Cairo Young Readers
1020,Rana,Fouad,6.0,Maadi,Active,2025-12-04,9087.0,511.0,2025-12-03,2025-12-13,7,Winter in Alexandria,Farida Anwar,Historical,117.0,2016.0,Nile Press
1020,Rana,Fouad,6.0,Maadi,Active,2025-12-04,9035.0,501.0,2024-08-01,2024-08-23,7,The Silver Kite,Amina Darwish,Adventure,128.0,2017.0,Nile Press
1020,Rana,Fouad,6.0,Maadi,Active,2025-12-04,9002.0,515.0,2024-12-06,2024-12-11,7,Songs of the Oasis,Hoda Bakry,Poetry,316.0,2022.0,Cairo Young Readers
1021,Fares,Fouad,8.0,Maadi,Active,2023-05-14,,,,,0,,,,,,
1022,Youssef,Fouad,7.0,Maadi,Active,2025-02-28,9380.0,513.0,2024-04-22,2024-04-28,7,Circuits for Beginners,Galal Mounir,Science,294.0,2021.0,Oasis Books
1022,Youssef,Fouad,7.0,Maadi,Active,2025-02-28,9094.0,527.0,2024-11-22,2024-12-08,7,Notes from the Delta,Mona Kholoussy,Nature,328.0,2017.0,Delta House
1022,Youssef,Fouad,7.0,Maadi,Active,2025-02-28,9046.0,513.0,2024-02-22,,7,Circuits for Beginners,Galal Mounir,Science,294.0,2021.0,Oasis Books
1022,Youssef,Fouad,7.0,Maadi,Active,2025-02-28,9009.0,506.0,2025-04-28,2025-05-04,7,The Paper Boat Club,Aya Hafez,Friendship,183.0,,Nile Press
1022,Youssef,Fouad,7.0,Maadi,Active,2025-02-28,9096.0,501.0,2025-02-17,2025-03-17,7,The Silver Kite,Amina Darwish,Adventure,128.0,2017.0,Nile Press
1022,Youssef,Fouad,7.0,Maadi,Active,2025-02-28,9011.0,513.0,2024-03-17,,7,Circuits for Beginners,Galal Mounir,Science,294.0,2021.0,Oasis Books
1023,Hassan,Rashad,8.0,Nasr City,Inactive,,9188.0,507.0,2025-05-11,2025-06-08,1,Fossils and Fireflies,Dalia Serry,Science,160.0,2024.0,Nile Press
1024,Youssef,Hegazy,8.0,Nasr City,Inactive,2024-01-04,9127.0,506.0,2025-06-13,,16,The Paper Boat Club,Aya Hafez,Friendship,183.0,,Nile Press
1024,Youssef,Hegazy,8.0,Nasr City,Inactive,2024-01-04,9144.0,501.0,2025-11-07,2025-11-25,16,The Silver Kite,Amina Darwish,Adventure,128.0,2017.0,Nile Press
1024,Youssef,Hegazy,8.0,Nasr City,Inactive,2024-01-04,9143.0,518.0,2025-10-02,,16,The Ninth Lighthouse,Hani Nagati,Adventure,163.0,2011.0,Delta House
1024,Youssef,Hegazy,8.0,Nasr City,Inactive,2024-01-04,9124.0,525.0,2025-10-14,2025-11-13,16,Storms and Sailboats,Mahmoud Rafei,Adventure,297.0,2015.0,Oasis Books
1024,Youssef,Hegazy,8.0,Nasr City,Inactive,2024-01-04,9376.0,518.0,2025-10-22,2025-11-04,16,The Ninth Lighthouse,Hani Nagati,Adventure,163.0,2011.0,Delta House
1024,Youssef,Hegazy,8.0,Nasr City,Inactive,2024-01-04,9128.0,501.0,2025-06-12,2025-06-19,16,The Silver Kite,Amina Darwish,Adventure,128.0,2017.0,Nile Press
1024,Youssef,Hegazy,8.0,Nasr City,Inactive,2024-01-04,9194.0,513.0,2024-09-17,2024-10-09,16,Circuits for Beginners,Galal Mounir,Science,294.0,2021.0,Oasis Books
1024,Youssef,Hegazy,8.0,Nasr City,Inactive,2024-01-04,9119.0,518.0,2025-02-26,2025-03-15,16,The Ninth Lighthouse,Hani Nagati,Adventure,163.0,2011.0,Delta House
1024,Youssef,Hegazy,8.0,Nasr City,Inactive,2024-01-04,9130.0,503.0,2025-09-04,2025-09-17,16,The Lantern Maker,Adel Roushdy,Historical,259.0,,Nile Press
1024,Youssef,Hegazy,8.0,Nasr City,Inactive,2024-01-04,9178.0,518.0,2025-08-21,2025-09-04,16,The Ninth Lighthouse,Hani Nagati,Adventure,163.0,2011.0,Delta House
1024,Youssef,Hegazy,8.0,Nasr City,Inactive,2024-01-04,9195.0,507.0,2025-02-22,2025-03-17,16,Fossils and Fireflies,Dalia Serry,Science,160.0,2024.0,Nile Press
1024,Youssef,Hegazy,8.0,Nasr City,Inactive,2024-01-04,9107.0,505.0,2024-09-24,2024-10-12,16,Letters to the Nile,Aya Hafez,Historical,216.0,2024.0,Oasis Books
1024,Youssef,Hegazy,8.0,Nasr City,Inactive,2024-01-04,9108.0,507.0,2025-02-02,2025-02-27,16,Fossils and Fireflies,Dalia Serry,Science,160.0,2024.0,Nile Press
1024,Youssef,Hegazy,8.0,Nasr City,Inactive,2024-01-04,9150.0,507.0,2025-10-14,2025-10-24,16,Fossils and Fireflies,Dalia Serry,Science,160.0,2024.0,Nile Press
1024,Youssef,Hegazy,8.0,Nasr City,Inactive,2024-01-04,9174.0,528.0,2025-12-16,2026-01-07,16,The Glass Beehive,Mona Kholoussy,Nature,114.0,2010.0,Delta House
1024,Youssef,Hegazy,8.0,Nasr City,Inactive,2024-01-04,9116.0,519.0,2025-01-10,2025-02-09,16,Kites Over Cairo,Jasmine Wahdan,Friendship,157.0,2014.0,Nile Press
1025,Hana,Nabil,,Nasr City,Active,2023-10-03,,,,,0,,,,,,
1026,Nada,Saleh,7.0,Nasr City,Inactive,2023-11-16,9184.0,501.0,2024-12-15,2025-01-11,4,The Silver Kite,Amina Darwish,Adventure,128.0,2017.0,Nile Press
1026,Nada,Saleh,7.0,Nasr City,Inactive,2023-11-16,9117.0,501.0,2025-09-13,,4,The Silver Kite,Amina Darwish,Adventure,128.0,2017.0,Nile Press
1026,Nada,Saleh,7.0,Nasr City,Inactive,2023-11-16,9185.0,519.0,2025-10-22,2025-11-01,4,Kites Over Cairo,Jasmine Wahdan,Friendship,157.0,2014.0,Nile Press
1027,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,9113.0,507.0,2024-06-26,2024-07-08,18,Fossils and Fireflies,Dalia Serry,Science,160.0,2024.0,Nile Press
1027,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,9111.0,510.0,2024-09-12,2024-10-03,18,The Missing Metronome,Diaa Sultan,Mystery,134.0,2013.0,Cairo Young Readers
1027,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,9173.0,532.0,2025-03-10,2025-04-06,18,The Last Bookmark,Samir Zohdy,Friendship,337.0,2017.0,Oasis Books
1027,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,9148.0,532.0,2025-07-05,2025-07-26,18,The Last Bookmark,Samir Zohdy,Friendship,337.0,2017.0,Oasis Books
1027,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,9171.0,507.0,2025-05-23,2025-06-19,18,Fossils and Fireflies,Dalia Serry,Science,160.0,2024.0,Nile Press
1027,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,9141.0,529.0,2025-02-09,2025-03-03,18,Riddles of the Red Sea,Sara Tantawy,Mystery,298.0,,Cairo Young Readers
1027,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,9123.0,511.0,2025-03-23,2025-04-11,18,Winter in Alexandria,Farida Anwar,Historical,117.0,2016.0,Nile Press
1027,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,9142.0,516.0,2024-09-21,2024-10-14,18,The Beekeeper's Almanac,Hoda Bakry,Nature,241.0,2010.0,Nile Press
1027,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,9198.0,524.0,2024-10-03,2024-10-19,18,The Weaver's Daughter,Laila Shokry,Historical,114.0,2016.0,Cairo Young Readers
1027,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,9192.0,519.0,2025-09-26,2025-10-07,18,Kites Over Cairo,Jasmine Wahdan,Friendship,157.0,2014.0,Nile Press
1027,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,9105.0,501.0,2025-03-05,2025-03-25,18,The Silver Kite,Amina Darwish,Adventure,128.0,2017.0,Nile Press
1027,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,9183.0,532.0,2025-03-28,2025-04-10,18,The Last Bookmark,Samir Zohdy,Friendship,337.0,2017.0,Oasis Books
1027,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,9179.0,517.0,2024-11-19,2024-12-17,18,Shadows on the Corniche,Hani Nagati,Mystery,338.0,2015.0,Delta House
1027,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,9191.0,505.0,2024-08-05,2024-08-29,18,Letters to the Nile,Aya Hafez,Historical,216.0,2024.0,Oasis Books
1027,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,9175.0,513.0,2025-03-04,2025-03-27,18,Circuits for Beginners,Galal Mounir,Science,294.0,2021.0,Oasis Books
1027,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,9121.0,522.0,2025-02-24,2025-03-14,18,The Puzzle Merchant,Karim Elwy,Mystery,104.0,2016.0,Cairo Young Readers
1027,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,9177.0,513.0,2024-01-18,,18,Circuits for Beginners,Galal Mounir,Science,294.0,2021.0,Oasis Books
1027,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,9176.0,501.0,2024-11-08,2024-11-26,18,The Silver Kite,Amina Darwish,Adventure,128.0,2017.0,Nile Press
